,node1Name,node2Name,NodeType1,NodeType2,pcor,pval,qval,prob
12829,CMAP.up.202_raloxifene_1.00e-07_MCF7_up,CMAP.up.203_nordihydroguaiareticacid_1.00e-06_MCF7_up,CMAP_UP,CMAP_UP,0.0379208521692646,0.000739937566085924,0.0128069620642125,0.905183726120142
12538,CMAP.up.124_mesalazine_1.00e-04_MCF7_up,CMAP.up.316_flufenamicacid_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.03847989835355,0.00061679499966738,0.0109276997347531,0.90786734276133
12582,CMAP.up.338_azathioprine_1.00e-04_MCF7_up,Pathway.{TJP126} (Static Module),CMAP_UP,Pathway,0.0383823175006517,0.000636814284468379,0.0112391127325427,0.90786734276133
12597,CMAP.up.262_indometacin_2.00e-05_MCF7_up,CMAP.up.312_staurosporine_1.00e-06_MCF7_up,CMAP_UP,CMAP_UP,0.0383490189112213,0.000643782838641638,0.0113469534645454,0.90786734276133
12633,CMAP.up.208_SC-58125_1.00e-05_MCF7_up,CMAP.up.222_tomelukast_1.00e-06_MCF7_up,CMAP_UP,CMAP_UP,0.0382807511302562,0.000658291831177493,0.0115705650366206,0.90786734276133
12636,CMAP.up.310_fulvestrant_1.00e-08_MCF7_up,CMAP.up.316_flufenamicacid_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0382716102604867,0.000660257461500446,0.0116007640154114,0.90786734276133
12661,CMAP.up.164_dexverapamil_1.00e-05_MCF7_up,CMAP.up.166_rofecoxib_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0382165082475072,0.000672222518741217,0.0117841020325647,0.90786734276133
12780,CMAP.up.335_nifedipine_1.00e-05_MCF7_up,CMAP.up.336_nitrendipine_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0380155544774808,0.00071758722432369,0.0124716982318355,0.90786734276133
12359,CMAP.up.165_exemestane_1.00e-08_MCF7_up,Pathway.{TJP126} (Static Module),CMAP_UP,Pathway,-0.0388459106723325,0.000546806016617385,0.00982725777474026,0.914876889385482
12373,CMAP.up.165_exemestane_1.00e-08_MCF7_up,CMAP.up.335_nifedipine_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,-0.0388084371952363,0.000553616100252174,0.00993536409676786,0.914876889385482
12328,CMAP.up.316_flufenamicacid_1.00e-05_MCF7_up,CMAP.up.338_azathioprine_1.00e-04_MCF7_up,CMAP_UP,CMAP_UP,0.0389118000795414,0.000535020747229886,0.00964074342624695,0.922032709138668
12068,CMAP.up.143_tamoxifen_1.00e-06_MCF7_up,Pathway.Complement Activation Classical Pathway (Wikipathways),CMAP_UP,Pathway,-0.0394030886638468,0.000454327596894899,0.00836229109715187,0.931369518287025
12074,CMAP.up.164_dexverapamil_1.00e-05_MCF7_up,CMAP.up.312_staurosporine_1.00e-06_MCF7_up,CMAP_UP,CMAP_UP,0.0393970115139854,0.000455252347393742,0.00837723431574679,0.931369518287025
12091,CMAP.up.262_indometacin_2.00e-05_MCF7_up,CMAP.up.337_felodipine_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0393538418583457,0.000461872125838703,0.00848398856906732,0.931369518287025
12157,CMAP.up.166_rofecoxib_1.00e-05_MCF7_up,CMAP.up.207_LM-1685_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0392030203883847,0.00048571108965989,0.00886531489138575,0.931369518287025
12194,CMAP.up.204_sulfasalazine_1.00e-04_MCF7_up,Pathway.{MLH120} (Static Module),CMAP_UP,Pathway,-0.0391369362057532,0.000496513728451387,0.00903652569688647,0.931369518287025
12248,CMAP.up.325_monorden_1.00e-07_MCF7_up,CMAP.up.333_diclofenac_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,-0.039039517019724,0.000512847709059905,0.0092935477079832,0.931369518287025
