"","ClusterA.CombinedScore","ClusterB.CombinedScore","ClusterC.CombinedScore","ClusterD.CombinedScore","ClusterA.PosRank","ClusterB.PosRank","ClusterC.PosRank","ClusterD.PosRank","ClusterA.NegRank","ClusterB.NegRank","ClusterC.NegRank","ClusterD.NegRank","ClusterA.Pos","ClusterB.Pos","ClusterC.Pos","ClusterD.Pos","ClusterA.Neg","ClusterB.Neg","ClusterC.Neg","ClusterD.Neg","AposBnegCpos","AnegBposCneg"
"1",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,13,13,13,13,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,14,14,14,14,14,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,15,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,16,16,16,16,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,18,18,18,18,18,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,20,20,20,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,21,21,21,21,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,22,22,22,22,22,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,23,23,23,23,23,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,24,24,24,24,24,24,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,25,25,25,25,25,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,26,26,26,26,26,26,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,27,27,27,27,27,27,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,28,28,28,28,28,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,29,29,29,29,29,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
