Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
Urea cycle and metabolism of amino groups (Wikipathways)	-1.052657612	6.958759415	-6.27276871	5.61E-05	0.035488816	2.201605103	"CKB,CKM,CPS1,NAGS,ABHD14A,GAMT,GATM,GLUD1,ARG1,ARG2,ASL,ASS1,OAT,ODC1,OTC,PYCR1,ALDH18A1,PYCR3,SMS,SRM,ACY1"
"{HMGB1,14} (Static Module)"	-1.146800344	5.931278121	-5.721090993	0.000125196	0.039624535	1.465538906	"ANP32E,CBFB,DFFB,ERF,FOXC1,H1F0,H1FOO,H1FX,HMGB1,HMGB2,RAG1,RAG2,RASSF4,SOX18"
Regulation of beta-cell development (Reactome)	-0.483157962	7.559967474	-4.926259875	0.000429409	0.055984728	0.316920542	"AKT1,AKT2,AKT3,FAU,FGF10,FOXA2,FOXA3,FOXO1,GCK,HES1,HNF1A,HNF1B,HNF4A,HNF4G,IAPP,INS,INSM1,MAFA,NEUROD1,NEUROG3,NKX2-2,NKX6-1,NOTCH1,NR5A2,ONECUT1,ONECUT3,PAX4,PAX6,PDX1,PKLR,PTF1A,RBPJ,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SLC2A2,UBA52"
Cytoplasmic Ribosomal Proteins (Wikipathways)	-0.403612814	7.596654886	-4.914389536	0.000437683	0.055984728	0.298988802	"RPL13AP25,RPL13AP25,NA,RPL13AP25,RPL35,FAU,RPL13A,RPL36,RPS6KA6,RPSA,RPL10A,RPL3,RPL3L,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPL10,RPL11,RPL12,RPL13,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23A,RPL24,RPL26,RPL27,RPL30,RPL27A,RPL28,RPL29,RPL31,RPL32,RPL34,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL36A,RPLP0,RPLP1,RPLP2,RPS2,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KB1,RPS6KB2,RPS7,RPS8,RPS9,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,NA,UBA52,RPL14,RPL23,MRPL19"
Ribosome (KEGG)	-0.393780434	7.618748305	-4.907983495	0.000442217	0.055984728	0.289302346	"NA,RPL35,RPL10L,RPL22L1,FAU,RPL13A,RPL36,RSL24D1P11,MRPL13,RPSA,RNR1,RNR2,RPL10A,RPS27L,RPL26L1,RSL24D1,RPL3,RPL3L,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPL10,RPL11,RPL12,RPL13,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23A,RPL24,RPL26,RPL27,RPL30,RPL27A,RPL28,RPL29,RPL31,RPL32,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL36A,RPLP0,RPLP1,RPLP2,RPS2,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,UBA52,RPL14,RPL23"
"{RPS27A,138} (Static Module)"	-0.630575869	7.600200684	-4.667432648	0.000653911	0.06428055	-0.079070203	"BTF3,CNOT6L,DDX24,DNAJC3,EEF1A1,EEF1B2,EEF1D,EEF1G,EEF2,EIF1,EIF1AX,EIF1B,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,EIF2S1,EIF2S2,EIF2S3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4EBP2,EIF4ENIF1,EIF4G1,EIF4H,EIF5,EIF5B,ETF1,FAU,GFM1,GRSF1,GSPT2,GSTO1,HERC3,NDRG1,PABPC1,PABPC3,PAIP2,PSG9,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,TPT1,UBA52,VARS"
Taurine and hypotaurine metabolism (KEGG)	-1.560350301	6.1174631	-4.61672177	0.000710843	0.06428055	-0.157859798	"CDO1,GGT6,GAD1,GAD2,GGT1,GGT7,GGT5,CSAD,BAAT,ADO"
Influenza Infection (Reactome)	-0.766779753	7.453845944	-4.504121857	0.000856674	0.065838669	-0.334174028	"AAAS,CALR,CANX,CLTA,CLTC,CPSF4,DNAJC3,EIF2AK2,FAU,GRSF1,GTF2F1,GTF2F2,HSP90AA1,HSPA1A,IPO5,KPNA1,KPNB1,NA,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP43,NUP50,NUP54,NUP62,NUP85,NUP88,NUP93,NUP98,NUP58,NUPL2,PABPN1,PBRM1,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POM121,RAE1,RAN,RANBP2,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SEH1L,SLC25A6,TGFB1,TPR,UBA52,XPO1"
Olfactory transduction (KEGG)	-1.592724225	6.995464566	-4.450979027	0.000936095	0.065838669	-0.418029695	"OR5I1,ADCY3,CLCA1,OR52E2,OR52J3,OR51L1,OR51A7,OR51S1,OR51F2,OR52R1,OR4C46,OR4X2,OR4B1,OR52M1,OR52K2,OR5P2,OR5P3,OR8I2,OR2D3,OR2D2,OR52W1,OR56A4,OR56A1,OR10P1,OR10AD1,OR10A7,OR4K14,OR4L1,OR11H6,OR4D2,CNGB1,OR7D4,OR7G1,OR1M1,CNGA3,CNGA4,OR1I1,OR10H4,OR2M5,OR2M3,OR2T12,OR14C36,OR2T34,OR2T10,OR2T4,OR2T11,OR10J5,OR2B11,OR10T2,OR10X1,OR10Z1,OR6K6,OR6N1,OR9A4,OR2Y1,OR9A2,OR2A14,OR6B1,OR2F2,OR13C5,OR13C8,OR13C3,OR13C4,OR13F1,OR1L8,OR1N2,OR1N1,OR52B4,OR52I2,OR51E1,OR10A5,OR2AG1,OR6B3,GRK3,OR1Q1,OR7D2,CALML6,OR56B4,OR8U1,OR4C16,OR4C11,OR4S2,OR4C6,OR5D14,OR5L1,OR5D18,OR5AS1,OR8K5,OR5T2,OR8H1,OR8K3,OR8J1,OR5R1,OR5M3,OR5M8,OR5M11,OR5AR1,OR8B12,OR8G5,OR10G8,OR10G9,OR10S1,OR6T1,OR4D5,OR6Q1,OR9I1,OR9Q1,OR9Q2,OR1S2,OR1S1,OR10Q1,OR5B17,OR5B21,OR5A2,OR5A1,OR4D6,OR4D11,CLCA4,OR52A1,OR6C74,OR6C3,OR2T6,OR1L4,OR52B2,OR4C3,OR4S1,OR51F1,OR1C1,OR1A2,OR2F1,OR2B6,OR1J4,OR2M4,OR2L2,OR2K2,OR7A17,OR5L2,OR5K1,OR10J1,OR8G2P,OR8B8,OR8G1,OR10A3,OR12D2,OR11A1,OR10H3,OR10G3,OR10G2,OR10H2,OR10H1,OR7E24,OR7C2,OR7A5,OR7C1,OR4F4,OR4F3,OR4E2,OR4D1,OR2W1,OR2T1,OR2J2,OR2H1,OR1L3,OR1L1,OR1J2,GNAL,OR51B5,OR10AG1,OR5J2,OR4C13,OR4C12,OR51V1,OR8D1,OR8D2,OR8B4,OR9G4,OR10A4,OR6C6,OR4N4,OR2Z1,OR10H5,OR2L13,OR14A16,OR2V2,OR13C9,OR13D1,GUCA1A,GUCA1B,GUCY2D,OR8D4,OR5F1,OR5AP2,OR52L1,OR2AG2,OR52B6,OR2AT4,OR10A2,OR6C2,OR6C4,OR8S1,OR6S1,OR6F1,OR2W3,OR2T8,OR2T3,OR10R2,OR2T29,OR6V1,OR2A12,OR2A1,OR1J1,OR1B1,OR13H1,OR56B1,OR6B2,OR52K1,OR52I1,OR51D1,OR52A5,OR51B6,OR51M1,OR51Q1,OR51I1,OR51I2,OR52D1,OR52H1,OR52N4,OR52N5,OR52N2,OR52E6,OR52E8,OR52E4,OR56A3,OR56A5,OR10A6,OR4X1,OR5D13,OR5D16,OR8H2,OR8H3,OR5T3,OR5T1,OR8K1,OR5M9,OR5M10,OR5M1,OR9G1,OR5AK2,OR5B12,OR5AN1,OR4D10,OR4D9,OR10V1,OR6X1,OR6M1,OR10G4,OR10G7,OR8A1,OR6C1,OR6C75,OR6C76,OR6C70,OR4N2,OR4K2,OR4K13,OR4K17,OR4N5,OR11G2,OR11H4,OR5AU1,OR4M2,OR4F6,OR4F15,OR7G2,OR7G3,OR7A10,OR10K2,OR10K1,OR6Y1,OR6K3,OR11L1,OR2L8,OR2AK2,OR2L3,OR2M2,OR2T33,OR2M7,OR2G6,OR2A25,OR13J1,OR13C2,OR1L6,OR5C1,OR1K1,OR2A5,OR2A7,OR51T1,OR51A4,OR51A2,OR2T2,OR2T5,OR14I1,OR5K2,OR2A42,OR2T27,OR4A47,OR4C45,OR6C65,OR6C68,ARRB2,OR5B3,OR9K2,OR4Q3,OR4M1,OR10J3,OR13G1,OR2B3,OR2J3,OR14J1,OR10C1,OR2A2,OR1D2,OR1F1,OR2C1,OR3A1,OR3A2,OR8U8,PDC,PDE1C,CALML5,PRKACA,PRKACB,PRKACG,PRKG1,PRKG2,PRKX,OR2S2,OR13A1,OR5H6,OR5H2,OR4K5,OR2H2,OR51G1,OR51B4,OR51B2,OR52N1,OR4F5,OR2A4,OR4K1,CALM1,CALM2,CALM3,CALML3,OR5AC2,OR11H1,OR4F17,OR4K15,OR8J3,OR51G2,OR51E2,OR4P4,OR4C15,OR4A5,OR4A16,OR4A15,OR2AE1,OR4F16,OR6N2,OR6K2,OR2G3,OR2G2,OR2C3,CAMK2A,CAMK2B,OR5V1,OR2B2,CAMK2D,OR12D3,CAMK2G,OR1A1,OR1D5,OR1E1,OR1E2,OR1G1,OR3A3,OR6A2,GUCA1C,CLCA2"
"{FCGR2B,50} (Static Module)"	-0.383506592	4.268664519	4.202561328	0.001423708	0.081359286	-0.815229217	"C1QA,C1QB,C1QC,C1R,C1S,C2,C4A,FCGR2B,FCGR3A,IGHG3,IGHV1-69,IGHV4-31,IGHV7-81,IGKC,IGKV1-5,IGKV2-24,IGKV4-1,IGLC1,IGLV@,IGLV1-36,IGLV1-40,IGLV1-44,IGLV10-54,IGLV11-55,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-33,IGLV3-12,IGLV3-16,IGLV3-22,IGLV3-25,IGLV3-27,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61,MASP1,MASP2,MBL2,NNMT,SERPING1"
